video,vidFrame,totalFramesOnDetection,class,score,ymin,xmin,ymax,xmax
AI1 Potholes 011.MP4,721.0,21825.0,pothole,0.5296816,0.61323786,0.65304226,0.98969877,0.99713916
AI1 Potholes 011.MP4,733.0,21837.0,pothole,0.67349464,0.18392555,0.7819266,0.29137665,0.97347623
AI1 Potholes 011.MP4,805.0,21909.0,pothole,0.56918454,0.30843493,0.4716354,0.45887622,0.64413255
AI1 Potholes 011.MP4,1021.0,22125.0,pothole,0.54310125,0.5423413,0.64641327,0.9915615,0.98111683
AI1 Potholes 011.MP4,1033.0,22137.0,pothole,0.5007695,0.5614334,0.6421901,0.9888181,0.9839318
AI1 Potholes 011.MP4,1069.0,22173.0,pothole,0.6134049,0.6086239,0.71074706,0.68664604,0.80985516
AI1 Potholes 011.MP4,1093.0,22197.0,pothole,0.5227446,0.6077328,0.70962274,0.6892934,0.80323756
AI1 Potholes 011.MP4,1165.0,22269.0,pothole,0.50932795,0.5795185,0.7015807,0.65899616,0.78904456
AI1 Potholes 011.MP4,1177.0,22281.0,pothole,0.5108908,0.57504034,0.695076,0.6494527,0.7883991
AI1 Potholes 012.MP4,1009.0,23304.0,pothole,0.50608206,0.68386936,0.7101213,0.7595215,0.8025577
AI1 Potholes 012.MP4,1249.0,23544.0,pothole,0.5686863,0.0,0.0093126,0.72025,0.5138141
AI1 Potholes 012.MP4,1285.0,23580.0,pothole,0.57319766,0.6136069,0.7065273,0.99290156,1.0
AI1 Potholes 012.MP4,1621.0,23916.0,pothole,0.62195635,0.3106817,0.040882066,0.39600152,0.16792955
AI1 Potholes 012.MP4,1801.0,24096.0,pothole,0.63764995,0.7360602,0.72616667,0.99409074,0.9996242
AI1 Potholes 013.MP4,85.0,24432.0,pothole,0.5440033,0.573033,0.70847607,0.9762194,0.9230604
AI1 Potholes 014.MP4,85.0,25002.0,pothole,0.52539134,0.6340939,0.72352576,0.97923875,1.0
AI1 Potholes 014.MP4,361.0,25278.0,pothole,0.54671466,0.07893945,0.84252834,0.2901621,1.0
AI1 Potholes 014.MP4,421.0,25338.0,pothole,0.50480783,0.0737664,0.8314329,0.27768776,1.0
AI1 Potholes 014.MP4,457.0,25374.0,pothole,0.51945114,0.09106383,0.83809954,0.29371196,1.0
AI1 Potholes 014.MP4,493.0,25410.0,pothole,0.5846449,0.077418804,0.8303231,0.285363,0.9973259
AI1 Potholes 014.MP4,505.0,25422.0,pothole,0.5983467,0.07989048,0.82640404,0.2938301,1.0
AI1 Potholes 014.MP4,517.0,25434.0,pothole,0.5750349,0.08590885,0.83641934,0.28650194,1.0
AI1 Potholes 014.MP4,529.0,25446.0,pothole,0.64046913,0.07714727,0.82946616,0.28244197,1.0
AI1 Potholes 014.MP4,541.0,25458.0,pothole,0.5450226,0.095125206,0.82394445,0.29859102,0.9937339
AI1 Potholes 014.MP4,553.0,25470.0,pothole,0.5648884,0.09042029,0.81905097,0.29455835,0.9868651
AI1 Potholes 014.MP4,565.0,25482.0,pothole,0.54045385,0.09468812,0.8183538,0.29473847,0.9866799
AI1 Potholes 014.MP4,577.0,25494.0,pothole,0.52421814,0.08539439,0.8148767,0.29687342,0.9876337
AI1 Potholes 014.MP4,589.0,25506.0,pothole,0.5661981,0.085799284,0.8139199,0.3012367,0.9862368
AI1 Potholes 014.MP4,601.0,25518.0,pothole,0.5265899,0.086327665,0.8055015,0.2999762,0.9819961
AI1 Potholes 014.MP4,637.0,25554.0,pothole,0.5183782,0.07841579,0.80604327,0.28797147,0.97293174
AI1 Potholes 014.MP4,685.0,25602.0,pothole,0.5795502,0.10169767,0.77257943,0.3131457,0.962541
AI1 Potholes 014.MP4,697.0,25614.0,pothole,0.5883163,0.052663833,0.79314494,0.25250587,0.9753419
AI1 Potholes 014.MP4,709.0,25626.0,pothole,0.6277209,0.055970676,0.7962523,0.2667564,0.97741085
AI1 Potholes 014.MP4,721.0,25638.0,pothole,0.5227302,0.058269046,0.79834217,0.27314433,0.97698826
AI1 Potholes 014.MP4,745.0,25662.0,pothole,0.5248129,0.048178934,0.7983099,0.25043273,0.98876524
AI1 Potholes 015.MP4,205.0,25870.0,pothole,0.5763409,0.3276381,0.5767814,0.5163195,0.9146811
AI1 Potholes 015.MP4,241.0,25906.0,pothole,0.6091858,0.5924937,0.0361508,0.8178682,0.4626621
AI1 Potholes 015.MP4,601.0,26266.0,pothole,0.6726215,0.25609708,0.00054872036,0.5666729,0.25645638
AI1 Potholes 015.MP4,913.0,26578.0,pothole,0.6546,0.53018713,0.575915,0.77914846,0.8749238
AI1 Potholes 015.MP4,937.0,26602.0,pothole,0.90291923,0.49036402,0.20763578,0.74414164,0.48719025
AI1 Potholes 015.MP4,937.0,26602.0,pothole,0.74912447,0.34401527,0.10756992,0.4604672,0.29025984
AI1 Potholes 016.MP4,421.0,27239.0,pothole,0.64779675,0.11914174,0.5941597,0.17023255,0.67980766
AI1 Potholes 017.MP4,1.0,27247.0,pothole,0.54683894,0.13464098,0.5789484,0.18974952,0.6746888
AI1 Potholes 017.MP4,49.0,27295.0,pothole,0.5793227,0.25080192,0.3136348,0.3344686,0.44989842
AI1 Potholes 017.MP4,61.0,27307.0,pothole,0.5906217,0.2351338,0.18312266,0.301829,0.2744767
AI1 Potholes 017.MP4,397.0,27643.0,pothole,0.55769503,0.16621752,0.5511473,0.21770035,0.6507396
AI1 Potholes 017.MP4,589.0,27835.0,pothole,0.61957973,0.63766384,0.2069259,0.9561031,0.5162507
AI1 Potholes 017.MP4,769.0,28015.0,pothole,0.52528644,0.6606428,0.74102557,0.9916517,1.0
AI1 Potholes 017.MP4,781.0,28027.0,pothole,0.50197077,0.6339411,0.7416781,0.9910584,1.0
AI1 Potholes 017.MP4,853.0,28099.0,pothole,0.5510647,0.18613228,0.28056985,0.59727097,0.53004116
AI1 Potholes 017.MP4,877.0,28123.0,pothole,0.61415577,0.6346444,0.77747387,0.9919311,1.0
AI1 Potholes 017.MP4,889.0,28135.0,pothole,0.6538189,0.62791187,0.782334,0.99162954,1.0
AI1 Potholes 017.MP4,889.0,28135.0,pothole,0.6490017,0.15438247,0.76930654,0.22775206,0.93824697
AI1 Potholes 017.MP4,901.0,28147.0,pothole,0.53950715,0.6461815,0.7420329,0.9894987,1.0
AI1 Potholes 017.MP4,925.0,28171.0,pothole,0.57023114,0.6334174,0.7648039,0.9929163,1.0
AI1 Potholes 017.MP4,961.0,28207.0,pothole,0.5045162,0.1080261,0.63685477,0.15422054,0.74690545
AI1 Potholes 017.MP4,1189.0,28435.0,pothole,0.5328872,0.17710122,0.49378473,0.3945317,0.83248156
AI1 Potholes 017.MP4,1501.0,28747.0,pothole,0.572209,0.25545746,0.743686,0.38819128,0.9177608
AI1 Potholes 017.MP4,1633.0,28879.0,pothole,0.64721596,0.30598593,0.5961546,0.44098294,0.77233016
AI1 Potholes 017.MP4,1909.0,29155.0,pothole,0.5039635,0.0046811774,0.33540854,0.1790703,0.76054764
AI1 Potholes 017.MP4,2137.0,29383.0,pothole,0.5534973,0.42304388,0.12761772,0.59623784,0.5936485
AI1 Potholes 017.MP4,2269.0,29515.0,pothole,0.70592076,0.42212957,0.60565615,0.7388217,0.8638073
AI1 Potholes 017.MP4,2281.0,29527.0,pothole,0.54053086,0.4026133,0.37627125,1.0,1.0
AI1 Potholes 018.MP4,97.0,29724.0,pothole,0.5648909,0.57516456,0.7159491,0.9740392,0.9890371
AI1 Potholes 018.MP4,109.0,29736.0,pothole,0.6138365,0.574425,0.72379875,0.9737189,0.9854609
AI1 Potholes 018.MP4,157.0,29784.0,pothole,0.601315,0.5913398,0.7056103,0.97736955,0.98748636
AI1 Potholes 018.MP4,181.0,29808.0,pothole,0.51439047,0.5929075,0.70805734,0.9841011,0.99152666
AI1 Potholes 018.MP4,193.0,29820.0,pothole,0.5387396,0.59034675,0.7140383,0.97469217,0.9877704
AI1 Potholes 018.MP4,205.0,29832.0,pothole,0.6059203,0.5923784,0.72431874,0.9773853,0.98760426
AI1 Potholes 018.MP4,697.0,30324.0,pothole,0.57181126,0.5761991,0.7040543,0.9686658,0.9851884
AI1 Potholes 018.MP4,913.0,30540.0,pothole,0.6569338,0.074297965,0.34234062,0.14147426,0.46339014
AI1 Potholes 018.MP4,961.0,30588.0,pothole,0.6327362,0.33804196,0.0,0.5234332,0.21806389
AI1 Potholes 018.MP4,1093.0,30720.0,pothole,0.6388487,0.54007727,0.0,0.72443885,0.39053738
AI1 Potholes 018.MP4,1129.0,30756.0,pothole,0.5979407,0.5642121,0.75536525,0.96195424,1.0
AI1 Potholes 018.MP4,1141.0,30768.0,pothole,0.58910066,0.5741419,0.7298255,0.9866635,1.0
AI1 Potholes 018.MP4,1165.0,30792.0,pothole,0.5610923,0.5699565,0.762187,0.96661466,1.0
AI1 Potholes 018.MP4,1165.0,30792.0,pothole,0.55172175,0.38233563,0.36301482,0.6456064,0.62438154
AI1 Potholes 018.MP4,1165.0,30792.0,pothole,0.5107357,0.14630273,0.45923543,0.19748476,0.57281244
AI1 Potholes 018.MP4,1405.0,31032.0,pothole,0.51033485,0.16556205,0.06885475,0.27642217,0.3825095
AI1 Potholes 018.MP4,1609.0,31236.0,pothole,0.71084183,0.025713459,0.0,0.13830742,0.14950818
AI1 Potholes 018.MP4,1609.0,31236.0,pothole,0.70391244,0.28014567,0.79767,0.54677546,1.0
AI1 Potholes 018.MP4,1633.0,31260.0,pothole,0.56528455,0.44049633,0.2806996,0.90386724,0.62452304
AI1 Potholes 018.MP4,1741.0,31368.0,pothole,0.5600925,0.00018113852,0.0,0.24476431,0.5988531
AI1 Potholes 018.MP4,2185.0,31812.0,pothole,0.54701835,0.0,0.23129025,0.16097182,0.6313143
AI1 Potholes 018.MP4,2197.0,31824.0,pothole,0.64755625,0.010862008,0.0,0.3899622,0.31172776
AI1 Potholes 019.MP4,133.0,32396.0,pothole,0.8674783,0.3585671,0.0,0.65322864,0.29442185
AI1 Potholes 019.MP4,217.0,32480.0,pothole,0.5517249,0.42698622,0.29210165,0.7067518,0.52263814
